Agregat_Budget;Code_Sage;Libelle_SAGE;;Janvier;Fevrier;Mars;Avril;Mai;Juin;Juillet;Aout;Septembre;Octobre;Novembre;Decembre;Budget_2024_cloture
Fonctionnement courant;6260004T;CONNEXION PHC DZ ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Fonctionnement courant;6261000T;IMPRESSION ET DOCUMENTATION  ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Fonctionnement courant;6270000T;Services bancaires et assimilés ;;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-60000.0
Fonctionnement courant;6270001T;COMMISSION BANCAIRE TRAPSA ;;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-600.0
;;Fonctionnement Courant;;-124612.60416666666;-125112.60416666666;-125112.60416666666;-125112.60416666666;-125112.60416666666;-125112.60416666666;-125112.60416666666;-124261.60416666666;-125112.60416666666;-125112.60416666666;-125112.60416666666;-125112.60416666666;-1500000.25
;xxxxxxxT; ;;;;;;;;;;;;;;0.0
;;Frais Informatique ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;xxxxxxxT;PENALITE DE RETARD ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Autres charges;6040001T;GESTE COMMERCIAL ;;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1000.0;-1050.0;-1050.0;-1050.0;-12150.0
Autres charges;6180000T;Services extérieurs divers ;;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-48000.0
Autres charges;6280000T;VIGNETTE ;;-350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-350.0
Autres charges;6300000T;CHARGE DIVERS ;;-4333.333;-4333.333;-4333.333;-4333.333;-4333.333;-4333.333;-4333.333;-4333.333;-4333.333;-4333.333;-4333.333;-4333.333;-51999.99599999999
Autres charges;6530000T;Jetons de présence ;;0.0;0.0;0.0;0.0;-46875.0;-46875.0;-46875.0;-46875.0;0.0;0.0;0.0;0.0;-187500.0
;;Autres Charges;;-9683.332999999999;-9333.332999999999;-9333.332999999999;-9333.332999999999;-56208.333;-56208.333;-56208.333;-56208.333;-9333.332999999999;-9383.332999999999;-9383.332999999999;-9383.332999999999;-299999.9959999999
;;Total Charges Courantes;;-936952.2671666667;-930102.2671666667;-930102.2671666667;-1084102.267166667;-976977.2671666667;-979977.2671666667;-982977.2671666667;-981126.2671666667;-935102.2671666667;-936152.2671666667;-935152.2671666667;-935152.2671666667;-11543876.206
;;EBITDA;;609010.7328333333;215860.7328333333;215860.7328333333;1061860.732833333;168985.7328333333;165985.7328333333;819522.7328333333;121373.73283333331;368921.7328333333;981260.7328333333;382260.7328333333;882260.7328333333;5993164.794
;;en % de CA;;0.3939361633061938;0.18836623244671366;0.18836623244671366;0.49481781970767114;0.14746177043528746;0.14484388486655617;0.45465893638465094;0.110089553590325;0.2829102323525743;0.5117628454763441;0.2901601341669874;0.48544867503057;0.34174321620163856
;;;;;;;;;;;;;;;;
;;Produits Financiers;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;xxxxxxxT;PERTE DE CHANGE ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Charges Financières;6500000T;Charge Financière ;;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8337.0;-100000.0
;;Charges Financières;;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8337.0;-100000.0
;;Résultat Financier;;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8333.0;-8337.0;-100000.0
Dotations Amortissements & Provisions;6811100T;Dot/amort. immob. incoporelles ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dotations Amortissements & Provisions;6811210T;DOT MATERIEL TRANSPORT ;;-8833.0;-8833.0;-8833.0;-8833.0;-8833.0;-8833.0;-8833.0;-8833.0;-8833.0;-8833.0;-8833.0;-8833.0;-105996.0
Dotations Amortissements & Provisions;6811220T;DOT MATERIEL INFORMATIQUE ;;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-48000.0
Dotations Amortissements & Provisions;6811230T;DOT A A I ;;-67000.0;-67000.0;-67000.0;-67000.0;-67000.0;-67000.0;-67000.0;-67000.0;-67000.0;-67000.0;-67000.0;-67000.0;-804000.0
Dotations Amortissements & Provisions;6811240T;DOT EQUIP DE BURAU ;;-3504.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-42004.0
